ID,ITA
text_item_card_35_desc,5th wave didn't respawned.
text_item_card_36_desc,"Debug.Log(""6"")."
text_item_card_37_desc,4 statuses.
text_item_card_38_desc,Skeleton id: 1.
text_item_card_39_desc,"I wrote down my memories into a new magical item of my creation. To whomever finds them, unveil the mysteries of my world."
text_item_card_40_desc,"The hero has been cursed, this screaming voice telling him to fight won't be silent. The only thing he can do is to keep going forward."
text_item_fish_01_desc,Progenetica
text_item_fish_02_desc,Pesce pagliaccio
text_item_fish_03_desc,Pesce chirurgo blu
text_item_fish_04_desc,Pesce chirurgo giallo
text_item_fish_05_desc,Pesce chirurgo gemma
text_item_fish_06_desc,Pesce chirurgo tigrato
text_item_fish_07_desc,Pesce angelo
text_item_fish_08_desc,Pesce angelo regina
text_item_fish_09_desc,Pesce angelo francese
text_item_fish_10_desc,Pesce rosso
text_item_fish_11_desc,Pesce combattente
text_item_fish_12_desc,Pesce gatto
text_item_fish_13_desc,Pesce palla
text_item_fish_14_desc,Pesce palla maculato
text_item_fish_15_desc,Pesce luna
text_item_fish_16_desc,Lambuga
text_item_fish_17_desc,Ghiozzo di Roule
text_item_fish_18_desc,Piranha rosso
text_item_fish_19_desc,Pesce leone
text_item_fish_20_desc,Scorfano rosso
text_item_fish_21_desc,Pesce pietra
text_item_fish_22_desc,Pesce volante
text_item_fish_23_desc,Pesce milione
text_item_fish_24_desc,Molly velifera
text_item_fish_25_desc,Pesce ragno
text_item_fish_26_desc,Salmone rosso
text_item_fish_27_desc,Salmone siberiano
text_item_fish_28_desc,Salmone atlantico
text_item_fish_29_desc,Salmone giapponese
text_item_fish_30_desc,Rana pescatrice
text_item_fish_31_desc,Diavolo nero
text_item_fish_32_desc,Pesce rana peloso
text_item_fish_33_desc,Carpa
text_item_fish_34_desc,Tinca
text_item_fish_35_desc,Carpa koi
text_item_fish_36_desc,Luccio di mare
text_item_fish_37_desc,Pesce cardinale
text_item_fish_38_desc,Tetra imperatore
text_item_fish_39_desc,Pesce zebra
text_item_fish_40_desc,Tetra nera
text_item_fish_41_desc,Pesce persico
text_item_fish_42_desc,Storione stellato
text_item_fish_43_desc,Storione di lago
text_item_fish_44_desc,Marlin striato
text_item_fish_45_desc,Pesce spada
text_item_fish_46_desc,Aguglia
text_item_fish_47_desc,Sarda
text_item_fish_48_desc,Aringa
text_item_fish_49_desc,Pezzogna
text_item_fish_50_desc,Orata
text_item_fish_51_desc,Merluzzo atlantico
text_item_fish_52_desc,Nasello
text_item_fish_53_desc,Tonno rosso
text_item_fish_54_desc,Luccio
text_item_fish_55_desc,Barbo
text_item_fish_56_desc,Barbo tigre
text_item_fish_57_desc,Barbo ciliegia
text_item_fish_58_desc,Pesce luna tropicale
text_item_fish_59_desc,Discus blu
text_item_fish_60_desc,Trota iridea
text_item_fish_61_desc,Murena a nastro
text_item_fish_62_desc,Murena gigante
text_item_fish_63_desc,Grongo
text_item_fish_64_desc,Seprente arlecchino
text_item_fish_65_desc,Pesce remo
text_item_fish_66_desc,Celacanto
text_item_fish_67_desc,Luccio dal naso lungo
text_item_fish_68_desc,Bichir sellato
text_item_fish_69_desc,Bichir del Senegal
text_item_fish_70_desc,Rombo
text_item_fish_71_desc,Spigola
text_item_fish_72_desc,Acciuga
text_item_fish_73_desc,Pesce Napoleone
text_item_fish_74_desc,Pastinaca
text_item_fish_75_desc,Squalo mako pinna corta
text_item_fish_76_desc,Lampreda di fiume
text_item_fish_77_desc,Pesce farfalla procione
text_item_fish_78_desc,Pesce trombetta
text_item_fish_79_desc,Coda di lira
text_item_fish_80_desc,Pesce freccia di fuoco
text_shopitem_cardpack01_desc,A humble card pack containing 3 cards.
text_shopitem_cardpack02_desc,A humble card pack containing 5 cards. An Uncommon card is guaranteed.
text_shopitem_cardpack03_desc,A fine card pack containing 8 cards. An Uncommon card is guaranteed.
text_shopitem_cardpack04_desc,A fine card pack containing 12 cards. An Uncommon card is guaranteed.
text_shopitem_cardpack05_desc,An elite card pack containing 15 cards. A Rare card is guaranteed.
text_shopitem_job_farmer_desc,Unlock the Farmer Class
