ID,ENG
text_item_card_35_desc,5th wave didn't respawned.
text_item_card_36_desc,"Debug.Log(6"")."""
text_item_card_37_desc,4 statuses.
text_item_card_38_desc,Skeleton id: 1.
text_item_card_39_desc,"I wrote down my memories into a new magical item of my creation. To whomever finds them, unveil the mysteries of my world."
text_item_card_40_desc,"The hero has been cursed, this screaming voice telling him to fight won't be silent. The only thing he can do is to keep going forward."
text_item_fish_01_desc,Progenetica
text_item_fish_02_desc,Clownfish
text_item_fish_03_desc,Blue Surgeonfish
text_item_fish_04_desc,Somber Surgeonfish
text_item_fish_05_desc,Gem Tang
text_item_fish_06_desc,Sailfin Surgeonfish
text_item_fish_07_desc,Angelfish
text_item_fish_08_desc,Quenn Angelfish
text_item_fish_09_desc,French Angelfish
text_item_fish_10_desc,Goldfish
text_item_fish_11_desc,Fighting Fish
text_item_fish_12_desc,Catfish
text_item_fish_13_desc,Blowfish
text_item_fish_14_desc,Spotted Pufferfish
text_item_fish_15_desc,Ocean Sunfish
text_item_fish_16_desc,Dorado Dolphinfish
text_item_fish_17_desc,Roule's Goby
text_item_fish_18_desc,Red Piranha
text_item_fish_19_desc,Lionfish
text_item_fish_20_desc,Red Scorpionfish
text_item_fish_21_desc,Stonefish
text_item_fish_22_desc,Flying Fish
text_item_fish_23_desc,Guppy
text_item_fish_24_desc,Sailfin Molly
text_item_fish_25_desc,Greater Weever
text_item_fish_26_desc,Red Salmon
text_item_fish_27_desc,Taimen
text_item_fish_28_desc,Atlantic Salmon
text_item_fish_29_desc,Japanese Trout
text_item_fish_30_desc,Monkfish
text_item_fish_31_desc,Humpback Anglerfish
text_item_fish_32_desc,Hairy Frogfish
text_item_fish_33_desc,European Carp
text_item_fish_34_desc,Golden Tench
text_item_fish_35_desc,Koi Carp
text_item_fish_36_desc,Barracuda
text_item_fish_37_desc,Cardinal Tetra
text_item_fish_38_desc,Emperor Tetra
text_item_fish_39_desc,Zembrafish
text_item_fish_40_desc,Petticoat Tetra
text_item_fish_41_desc,European Perch
text_item_fish_42_desc,Starry Sturgeon
text_item_fish_43_desc,Lake Sturgeon
text_item_fish_44_desc,Striped Marlin
text_item_fish_45_desc,Swordfish
text_item_fish_46_desc,Garfish
text_item_fish_47_desc,Sardine
text_item_fish_48_desc,Atlantic Herring
text_item_fish_49_desc,Blackspot Seabream
text_item_fish_50_desc,Silver Seabream
text_item_fish_51_desc,Atlantic Cod
text_item_fish_52_desc,Hake
text_item_fish_53_desc,Bluefin Tuna
text_item_fish_54_desc,Pike
text_item_fish_55_desc,Common Barbel
text_item_fish_56_desc,Tiger Barb
text_item_fish_57_desc,Cherry Barb
text_item_fish_58_desc,Moonfish
text_item_fish_59_desc,Blue Discus
text_item_fish_60_desc,Rainbow Trout
text_item_fish_61_desc,Ribbon Eel
text_item_fish_62_desc,Giant Mooray Eel
text_item_fish_63_desc,European Conger
text_item_fish_64_desc,Harlequin Snake Eel
text_item_fish_65_desc,Oarfish
text_item_fish_66_desc,African Coelacanth
text_item_fish_67_desc,Longnose Gar
text_item_fish_68_desc,Saddled Bichir
text_item_fish_69_desc,Gray Bichir
text_item_fish_70_desc,Turbot
text_item_fish_71_desc,European Seabass
text_item_fish_72_desc,European Anchovy
text_item_fish_73_desc,Humphead Wrasse
text_item_fish_74_desc,Common Stingray
text_item_fish_75_desc,Shortfin Mako Shark
text_item_fish_76_desc,River Lamprey
text_item_fish_77_desc,Racoon Butterfish
text_item_fish_78_desc,Atlantic Trumpetfish
text_item_fish_79_desc,Lyretail Anthias
text_item_fish_80_desc,Fire Goby
text_item_fish_group_life_desc,Increase Max Hp for Warrior Job by 100%
text_item_fish_group_predator_desc,Increase Atk for Warrior Job by 50%
text_item_fish_group_guardian_desc,Increase Def for Warrior Job by 30%
text_item_fish_group_dart_desc,Increase Atk Speed for Warrior Job by 20%
text_item_fish_group_sharp_desc,Increase Crit rate for Warrior Job by 20%
text_item_fish_group_piercing_desc,Increase Crit damage for Warrior Job by 20%
text_item_fish_group_golden_desc,Increase Luck for Warrior Job by 10%
text_item_fish_group_elder_desc,Increase Exp gain for Warrior Job by 20%
text_item_fish_group_quick_desc,Increase Movement speed for Warrior Job by 20%
text_shopitem_cardpack01_desc,A humble pack containing 3 cards.
text_shopitem_cardpack02_desc,A humble pack containing 5 cards. An Uncommon card is guaranteed.
text_shopitem_cardpack03_desc,A fine pack containing 8 cards. An Uncommon card is guaranteed.
text_shopitem_cardpack04_desc,A fine pack containing 12 cards. An Uncommon card is guaranteed.
text_shopitem_cardpack05_desc,An elite pack containing 15 cards. A Rare card is guaranteed.
text_shopitem_job_farmer_desc,Unlock the Farmer Job
