ID,ENG,LIMITS
text_item_fish_54_name,Pike,0
text_item_fish_55_name,Common Barbel,0
text_item_fish_56_name,Tiger Barb,0
text_item_fish_57_name,Cherry Barb,0
text_item_fish_58_name,Moonfish,0
text_item_fish_59_name,Blue Discus,0
text_item_fish_60_name,Rainbow Trout,0
text_item_fish_61_name,Ribbon Eel,0
text_item_fish_62_name,Giant Mooray Eel,0
text_item_fish_63_name,European Conger,0
text_item_fish_64_name,Harlequin Snake Eel,0
text_item_fish_65_name,Oarfish,0
text_item_fish_66_name,African Coelacanth,0
text_item_fish_67_name,Longnose Gar,0
text_item_fish_68_name,Saddled Bichir,0
text_item_fish_69_name,Gray Bichir,0
text_item_fish_70_name,Turbot,0
text_item_fish_71_name,European Seabass,0
text_item_fish_72_name,European Anchovy,0
text_item_fish_73_name,Humphead Wrasse,0
text_item_fish_74_name,Common Stingray,0
text_item_fish_75_name,Shortfin Mako Shark,0
text_item_fish_76_name,River Lamprey,0
text_item_fish_77_name,Racoon Butterfish,0
text_item_fish_78_name,Atlantic Trumpetfish,0
text_item_fish_79_name,Lyretail Anthias,0
text_item_fish_80_name,Fire Goby,0
text_item_fish_group_life_name,Life Series,0
text_item_fish_group_predator_name,Predator Series,0
text_item_fish_group_guardian_name,Guardian Series,0
text_item_fish_group_dart_name,Dart Series,0
text_item_fish_group_sharp_name,Sharp Series,0
text_item_fish_group_piercing_name,Piercing Series,0
text_item_fish_group_golden_name,Golden Series,0
text_item_fish_group_elder_name,Elder Series,0
text_item_fish_group_quick_name,Quick Series,0
text_shopitem_cardpack01_name,Copper Pack,0
text_shopitem_cardpack02_name,Iron Pack,0
text_shopitem_cardpack03_name,Bronze Pack,0
text_shopitem_cardpack04_name,Silver Pack,0
text_shopitem_cardpack05_name,Gold Pack,0
text_shopitem_job_farmer_name,Job: Farmer,0
text_item_crop_1_name,Bamboo,0
text_item_crop_2_name,Lumberry,0
text_item_crop_3_name,Oramelon,0
text_item_crop_4_name,Pinnocchia,0
text_item_crop_5_name,Pommodoro,0
text_item_crop_6_name,Pumpky,0
text_companion_0_name,Ragghost,0
text_companion_1_name,Shemoon,0
text_companion_2_name,Wingoat,0
text_companion_3_name,Zompig,0
text_companion_4_name,Zuccow,0
