ID,ENG
text_tooltip_stat_fisher_luck,Increase Fisher chance a rare fish comes into the lake
text_tooltip_stat_farmer_greenthumb,Increase Farmer crops growth
text_tooltip_stat_farmer_agronomy,Unlock a new seed for the Farmer to plant every 5 levels
text_tooltip_stat_farmer_kindness,Increase Farmer chance to encounter a companion
text_tooltip_stat_farmer_luck,Increase Farmer chance to befriend a companion
text_title_shop,Shop
text_title_quests,Quests
text_title_quests_bountieslist,Choose a bounty
text_title_settings,Settings
text_title_inventory,Inventory
text_title_inventory_convertlist,Select cards to convert
text_title_jobs,Jobs
text_title_jobs_back,<- Click here to go back to the job tree
text_title_jobs_warrior_maps,Maps
text_shop_insertredeeem,Insert the redeem code
text_shop_insertdebug,Insert the debug code
text_quest_desc_obtain_specific,Obtain {0} {1}
text_quest_desc_obtain_nonspecific,Obtain {0} {1}
text_quest_desc_levelup_specific_once,Level up {0} {1} time
text_quest_desc_levelup_specific_multiple,Level up {0} {1} times
text_quest_desc_levelup_nonspecific_once,Level up any stat {0} time
text_quest_desc_levelup_nonspecific_multiple,Level up any stat {0} times
text_quest_desc_unlockmap,Unlock {0} map
text_quest_desc_befriend_specific,Obtain {0} {1}
text_quest_desc_befriend_nonspecific,Obtain {0} companions
text_quest_reward_bounty,Reward: {0} bits
text_quest_desc_kill_specific,Kill {0} {1}
text_quest_desc_kill_nonspecific,Kill {0} monsters
text_settings_general_titlevolume,Volume
text_settings_general_titlelanguage,Language
text_settings_general_titleexit,Exit
text_settings_general_button_titlescreen,Title Screen
text_settings_general_button_quit,Quit
text_settings_general_lang_english,English
text_settings_general_lang_italian,Italiano
text_settings_gameplay_titlebattle,Battle
text_settings_gameplay_autobattle,Auto-Battle
text_settings_gameplay_titlehud,HUD
text_settings_gameplay_option_invertedhud,Inverted HUD
text_settings_gameplay_titlefloatinghud,Floating HUD
text_settings_gameplay_option_damage,Damage
text_settings_gameplay_option_itemcollected,Item Collected
text_settings_gameplay_option_tooltips,Tooltips
text_settings_gameplay_titleanimations,Animations
text_settings_gameplay_option_equipmentlevelup,Equipment Level Up
text_settings_gameplay_titlefisher,Fisher
text_settings_gameplay_option_invertfishingspot,Invert fishing spot
text_settings_gameplay_option_hidefishingbar,Hide fishing bar
text_settings_video_option_alwaysontop,Always on top
text_settings_video_option_clickthrough,Click through background
text_settings_video_titletargetfps,Target FPS
text_settings_video_option_toggle30,30 FPS
text_settings_video_option_toggle60,60 FPS
text_settings_video_button_changemonitor,Change Monitor
text_job_current_level,Lv. : {0}
text_job_available_points,Available points: {0}
text_job_current_stat_level,Lv. {0}
text_job_change_stat_level,Lv. {0} >> Lv. {1}
text_job_warrior_unlockconditions,None
text_job_miner_unlockconditions,None
text_job_fisher_unlockconditions,None
text_job_farmer_unlockconditions,Purchasable from the shop
text_job_blacksmith_unlockconditions,Collect at least 1 gold ore
text_job_warrior_mapstage,Stage: {0}/{1}
text_job_warrior_possiblemonsters,Possible monsters:<br>
text_job_miner_requirements_levelup,Requirements for level up
text_job_blacksmith_requirements_levelup,Requirements for level up
text_job_fisher_availablefishes,Current available fishes
text_job_fisher_caughtsession,Fishes caught in this session :
text_job_farmer_crop_basegrowthtime,Base growth time: {1}m{2}s<br>
text_job_farmer_crop_attracts,Attracts:<br>
text_job_farmer_crop_companiondesc,Equip companions that will help you defeating monsters
text_job_farmer_companion_cropdesc,Growing Crops
text_job_fisher_raritytooltip,<color=#{1}>{2}</color><br>
text_job_fisher_spawntime,Spawn time: {3}
text_button_new,New
text_button_continue,Continue
text_button_quit,Quit
text_button_buy,Buy
text_button_redeem,Redeem
text_button_debug,Debug
text_button_claim,Claim
text_button_selectbounty,--- Click to choose a bounty from the list ---
text_button_accept,Accept
text_button_convert,Convert
text_button_dismantle,Dismantle
text_button_dismantle_cancel,<- Cancel
text_button_quickselect,Quick Select
text_button_fight,Fight
text_button_levelup,Level up
text_button_gather,Gather
text_button_forge,Forge
text_button_farm,Farm
text_button_companions,Companions
text_button_crops,Crops
text_button_fish,Fish
text_button_revealall,Reveal All
text_button_shop_filter_cardpacks,Card Packs
text_button_shop_filter_jobs,Jobs
text_button_shop_filter_redeem,Redeem
text_button_shop_filter_debug,Debug
text_button_quests_filter_story,Story
text_button_quests_filter_daily,Daily
text_button_quests_filter_bounty,Bounty
text_button_settings_filter_general,General
text_button_settings_filter_gameplay,Gameplay
text_button_settings_filter_video,Video
text_button_settings_filter_credits,Credits
text_button_settings_filter_help,Help
text_button_help_filter_warrior,Warrior
text_button_help_filter_miner,Miner
text_button_help_filter_fisher,Fisher
text_button_help_filter_blacksmith,Blacksmith
text_button_help_filter_farmer,Farmer
text_button_inventory_filter_all,All
text_button_inventory_filter_ores,Ores
text_button_inventory_filter_metals,Metals
text_button_inventory_filter_fishes,Fishes
text_button_inventory_filter_cards,Cards
text_yesno_yes,Confirm
text_yesno_no,Cancel
text_yesno_newgame,"You already have an adventure in progress, starting a new game will erase your current save files.<br>Are you sure you want to continue?"
text_yesno_question_buy,Do you want to buy {0} for {1} bits?
text_yesno_question_titlescreen,Return to title screen?
text_yesno_question_quitgame,Close the game?
